,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,22,0.005,10,5,5,5,64,True,False,3,3,False,0.23317621648311615,0.04663524329662323,0.069394006083409,50.0,2453161.7327162293,7540412.739648664,5276285.227928733,1263.8609755345394,2137.7148660714283,1764.2046486183447,0.0035785183947645554,0.011137757197280667,0.007394591822782503,0.049210605045779864,0.0841208438806409,0.06738377608878787
1,166,0.005,10,5,5,5,64,True,False,3,3,False,0.23317621648311615,0.04663524329662323,0.069394006083409,50.0,2453161.7327162293,7540412.739648664,5276285.227928733,1263.8609755345394,2137.7148660714283,1764.2046486183447,0.0035785183947645554,0.011137757197280667,0.007394591822782503,0.049210605045779864,0.0841208438806409,0.06738377608878787
2,227,0.005,48,5,5,10,64,True,False,3,3,True,0.04417160339653492,0.008834320679306984,0.014504858467262238,71.0,3138160.7939176257,9205777.396806343,24986565.8878207,1310.657815926535,2261.569684709822,4133.445706741898,0.004215176583689412,0.01359762615098187,0.03501809470335003,0.04892438896382438,0.08899463319085534,0.1578769108200622
3,181,0.005,24,5,5,10,64,True,False,3,3,True,0.0815669633448124,0.01631339266896248,0.03080352321267128,22.0,3523711.929555647,8784564.56885647,8081435.324021946,1460.2498191550926,2262.692280505952,2222.5722394024883,0.004992357851299129,0.012975463098630943,0.011325944861176013,0.055998781483432764,0.08903880826172476,0.08489112090161613
4,282,0.005,24,12,12,32,64,True,False,3,3,True,0.208768829703331,0.017397402475277584,0.0715004950761795,18.0,3267353.5373724713,9796406.000274966,11552884.111607509,1362.992072973591,2267.7340691815316,2780.611338801504,0.004629151988405709,0.0144700290560129,0.016191100118896126,0.05226906674247129,0.08923720680625892,0.10620541782977644
5,120,0.005,48,5,5,32,32,True,False,3,3,True,0.046062709763646126,0.009212541952729225,0.01883085269946605,63.0,4823535.555789023,9241827.29993357,17214389.890873242,1677.798024031433,2325.419683779762,3373.999768518518,0.0064789714296229544,0.013650874571443698,0.024125569642718416,0.06262904179335459,0.09150718333904803,0.1288698820193721
6,26,0.001,48,5,5,10,32,True,False,3,3,True,0.04899780824780464,0.009799561649560928,0.016361341695301235,60.0,4497796.300545711,10163655.083449898,25739526.80838175,1556.6349198190787,2372.349919084821,4037.979265227141,0.006041438565229493,0.01501248359538032,0.03607335203412956,0.05810625120185371,0.09335392682202416,0.15423057119383926
7,218,0.005,10,5,5,32,32,True,False,3,3,False,0.22660376131534576,0.045320752263069156,0.05663580230126778,44.0,1414150.0368919803,8960760.77535242,31964204.56798786,961.9102117598685,2384.037584635417,4096.081126121239,0.002062873333007559,0.013235718158239955,0.04479709407464632,0.037453631717995664,0.09381384610532767,0.15644977109669408
8,40,0.005,10,5,5,32,32,True,False,3,3,False,0.22660376131534576,0.045320752263069156,0.05663580230126778,44.0,1414150.0368919803,8960760.77535242,31964204.56798786,961.9102117598685,2384.037584635417,4096.081126121239,0.002062873333007559,0.013235718158239955,0.04479709407464632,0.037453631717995664,0.09381384610532767,0.15644977109669408
9,85,0.005,24,12,12,10,64,True,False,3,3,False,0.3558206409215927,0.029651720076799393,0.06253351792693138,42.0,2636131.034974312,9401290.116299527,5820090.257296119,1257.856347018639,2449.2325806917224,1831.8518136415146,0.003734842612735058,0.013886413154277473,0.008156722005218952,0.0482372411831571,0.09637932299473628,0.06996755877212478
